"Diagnóstico Detalhado";"Masculino";"Feminino";" Total"
"C00 - Neoplasia maligna do lábio";"839";"499";"1338"
"C01 - Neoplasia maligna da base da língua";"1358";"386";"1744"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"2022";"1044";"3066"
"C03 - Neoplasia maligna da gengiva";"170";"171";"341"
"C04 - Neoplasia maligna do assoalho da boca";"1072";"349";"1421"
"C05 - Neoplasia maligna do palato";"577";"315";"892"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"1770";"1149";"2919"
"C07 - Neoplasia maligna da glândula parótida";"871";"686";"1557"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"272";"294";"566"
"C09 - Neoplasia maligna da amígdala";"585";"183";"768"
"C10 - Neoplasia maligna da orofaringe";"3945";"829";"4774"
"C11 - Neoplasia maligna da nasofaringe";"911";"584";"1495"
"C12 - Neoplasia maligna do seio piriforme";"190";"33";"223"
"C13 - Neoplasia maligna da hipofaringe";"972";"163";"1135"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"552";"199";"751"
"C15 - Neoplasia maligna do esôfago";"5420";"2178";"7598"
"C16 - Neoplasia maligna do estômago";"9818";"8436";"18254"
"C17 - Neoplasia maligna do intestino delgado";"1267";"1314";"2581"
"C18 - Neoplasia maligna do cólon";"12817";"14536";"27353"
"C19 - Neoplasia maligna da junção retossigmóide";"1316";"1401";"2717"
"C20 - Neoplasia maligna do reto";"6634";"5850";"12484"
"C21 - Neoplasia maligna do ânus e do canal anal";"935";"1800";"2735"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"1941";"1836";"3777"
"C23 - Neoplasia maligna da vesícula biliar";"353";"783";"1136"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"636";"769";"1405"
"C25 - Neoplasia maligna do pâncreas";"2379";"2356";"4735"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"688";"960";"1648"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"226";"191";"417"
"C31 - Neoplasia maligna dos seios da face";"468";"400";"868"
"C32 - Neoplasia maligna da laringe";"4549";"815";"5364"
"C33 - Neoplasia maligna da traquéia";"36";"29";"65"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"7271";"6974";"14245"
"C37 - Neoplasia maligna do timo";"106";"91";"197"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"647";"741";"1388"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"62";"56";"118"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"1085";"1133";"2218"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"1000";"919";"1919"
"C43 - Melanoma maligno da pele";"2946";"3220";"6166"
"C44 - Outras neoplasias malignas da pele";"32819";"38364";"71183"
"C45 - Mesotelioma";"23";"32";"55"
"C46 - Sarcoma de Kaposi";"226";"99";"325"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"51";"55";"106"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"823";"1107";"1930"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"6063";"6280";"12343"
"C50 - Neoplasia maligna da mama";"1212";"61464";"62676"
"C51 - Neoplasia maligna da vulva";"2";"1465";"1467"
"C52 - Neoplasia maligna da vagina";"0";"582";"582"
"C53 - Neoplasia maligna do colo do útero";"45";"21793";"21838"
"C54 - Neoplasia maligna do corpo do útero";"6";"8811";"8817"
"C55 - Neoplasia maligna do útero, porção não especificada";"0";"1027";"1027"
"C56 - Neoplasia maligna do ovário";"155";"7973";"8128"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"3";"1736";"1739"
"C58 - Neoplasia maligna da placenta";"0";"214";"214"
"C60 - Neoplasia maligna do pênis";"1263";"10";"1273"
"C61 - Neoplasia maligna da próstata";"44628";"32";"44660"
"C62 - Neoplasia maligna dos testículos";"2050";"4";"2054"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"199";"7";"206"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"3161";"2531";"5692"
"C65 - Neoplasia maligna da pelve renal";"268";"191";"459"
"C66 - Neoplasia maligna dos ureteres";"128";"80";"208"
"C67 - Neoplasia maligna da bexiga";"6014";"2571";"8585"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"46";"37";"83"
"C69 - Neoplasia maligna do olho e anexos";"659";"552";"1211"
"C70 - Neoplasia maligna das meninges";"87";"125";"212"
"C71 - Neoplasia maligna do encéfalo";"2712";"2586";"5298"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"652";"603";"1255"
"C73 - Neoplasia maligna da glândula tireóide";"1353";"8331";"9684"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"215";"258";"473"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"121";"203";"324"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"3098";"3299";"6397"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"4335";"5089";"9424"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"1644";"1879";"3523"
"C79 - Neoplasia maligna secundária de outras localizações";"6221";"6803";"13024"
"C80 - Neoplasia maligna, sem especificação de localização";"8525";"12829";"21354"
"C81 - Doença de Hodgkin";"1204";"1099";"2303"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"587";"784";"1371"
"C83 - Linfoma não-Hodgkin difuso";"2439";"2015";"4454"
"C84 - Linfomas de células T cutâneas e periféricas";"407";"402";"809"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"974";"835";"1809"
"C88 - Doenças imunoproliferativas malignas";"1288";"3261";"4549"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"2241";"2060";"4301"
"C91 - Leucemia linfóide";"1701";"1308";"3009"
"C92 - Leucemia mielóide";"2063";"1905";"3968"
"C93 - Leucemia monocítica";"50";"59";"109"
"C94 - Outras leucemias de células de tipo especificado";"121";"99";"220"
"C95 - Leucemia de tipo celular não especificado";"125";"93";"218"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"345";"284";"629"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"30";"90";"120"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"1381";"2544";"3925"
"D01 - Carcinoma in situ de outros órgãos digestivos";"1396";"2066";"3462"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"211";"153";"364"
"D03 - Melanoma in situ";"841";"1235";"2076"
"D04 - Carcinoma in situ da pele";"7881";"11332";"19213"
"D05 - Carcinoma in situ da mama";"202";"2783";"2985"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"13";"11491";"11504"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"2235";"1563";"3798"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"1937";"2909";"4846"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"4707";"7657";"12364"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"835";"650";"1485"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"6";"7497";"7503"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"5231";"42";"5273"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"729";"572";"1301"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"20";"40";"60"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"2190";"2551";"4741"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"1000";"4461";"5461"
"D45 - Policitemia vera";"306";"261";"567"
"D46 - Síndromes mielodisplásicas";"731";"749";"1480"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"2830";"3557";"6387"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"23066";"45397";"68463"
"Total";"278836";"386498";"665334"
