"Diagnóstico Detalhado";"Masculino";"Feminino";" Total"
"C00 - Neoplasia maligna do lábio";"978";"556";"1534"
"C01 - Neoplasia maligna da base da língua";"1296";"288";"1584"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"1859";"728";"2587"
"C03 - Neoplasia maligna da gengiva";"194";"158";"352"
"C04 - Neoplasia maligna do assoalho da boca";"1177";"369";"1546"
"C05 - Neoplasia maligna do palato";"633";"339";"972"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"1618";"854";"2472"
"C07 - Neoplasia maligna da glândula parótida";"787";"635";"1422"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"250";"376";"626"
"C09 - Neoplasia maligna da amígdala";"583";"146";"729"
"C10 - Neoplasia maligna da orofaringe";"3722";"844";"4566"
"C11 - Neoplasia maligna da nasofaringe";"743";"337";"1080"
"C12 - Neoplasia maligna do seio piriforme";"325";"41";"366"
"C13 - Neoplasia maligna da hipofaringe";"1138";"155";"1293"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"600";"168";"768"
"C15 - Neoplasia maligna do esôfago";"5373";"2261";"7634"
"C16 - Neoplasia maligna do estômago";"8293";"7075";"15368"
"C17 - Neoplasia maligna do intestino delgado";"882";"888";"1770"
"C18 - Neoplasia maligna do cólon";"10408";"10969";"21377"
"C19 - Neoplasia maligna da junção retossigmóide";"1080";"1070";"2150"
"C20 - Neoplasia maligna do reto";"5529";"4907";"10436"
"C21 - Neoplasia maligna do ânus e do canal anal";"838";"1518";"2356"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"1750";"1517";"3267"
"C23 - Neoplasia maligna da vesícula biliar";"420";"891";"1311"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"573";"570";"1143"
"C25 - Neoplasia maligna do pâncreas";"2005";"2117";"4122"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"430";"637";"1067"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"206";"223";"429"
"C31 - Neoplasia maligna dos seios da face";"491";"386";"877"
"C32 - Neoplasia maligna da laringe";"4761";"871";"5632"
"C33 - Neoplasia maligna da traquéia";"82";"113";"195"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"7228";"5970";"13198"
"C37 - Neoplasia maligna do timo";"64";"77";"141"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"699";"720";"1419"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"84";"64";"148"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"1375";"1642";"3017"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"1058";"898";"1956"
"C43 - Melanoma maligno da pele";"2856";"3001";"5857"
"C44 - Outras neoplasias malignas da pele";"30167";"32876";"63043"
"C45 - Mesotelioma";"18";"24";"42"
"C46 - Sarcoma de Kaposi";"177";"59";"236"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"56";"56";"112"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"831";"1286";"2117"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"6084";"6248";"12332"
"C50 - Neoplasia maligna da mama";"1027";"52133";"53160"
"C51 - Neoplasia maligna da vulva";"1";"1223";"1224"
"C52 - Neoplasia maligna da vagina";"0";"722";"722"
"C53 - Neoplasia maligna do colo do útero";"15";"18160";"18175"
"C54 - Neoplasia maligna do corpo do útero";"1";"6634";"6635"
"C55 - Neoplasia maligna do útero, porção não especificada";"63";"1019";"1082"
"C56 - Neoplasia maligna do ovário";"1";"6614";"6615"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"9";"1925";"1934"
"C58 - Neoplasia maligna da placenta";"0";"260";"260"
"C60 - Neoplasia maligna do pênis";"1045";"6";"1051"
"C61 - Neoplasia maligna da próstata";"43439";"68";"43507"
"C62 - Neoplasia maligna dos testículos";"1913";"1";"1914"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"481";"5";"486"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"2549";"2005";"4554"
"C65 - Neoplasia maligna da pelve renal";"291";"268";"559"
"C66 - Neoplasia maligna dos ureteres";"138";"113";"251"
"C67 - Neoplasia maligna da bexiga";"5543";"2353";"7896"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"41";"37";"78"
"C69 - Neoplasia maligna do olho e anexos";"557";"415";"972"
"C70 - Neoplasia maligna das meninges";"97";"124";"221"
"C71 - Neoplasia maligna do encéfalo";"2668";"2528";"5196"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"585";"570";"1155"
"C73 - Neoplasia maligna da glândula tireóide";"1093";"6426";"7519"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"174";"228";"402"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"192";"243";"435"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"3892";"4735";"8627"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"4784";"5071";"9855"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"1692";"1800";"3492"
"C79 - Neoplasia maligna secundária de outras localizações";"6599";"7648";"14247"
"C80 - Neoplasia maligna, sem especificação de localização";"9803";"15560";"25363"
"C81 - Doença de Hodgkin";"1246";"1075";"2321"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"618";"680";"1298"
"C83 - Linfoma não-Hodgkin difuso";"2675";"2104";"4779"
"C84 - Linfomas de células T cutâneas e periféricas";"393";"312";"705"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"762";"647";"1409"
"C88 - Doenças imunoproliferativas malignas";"1344";"2843";"4187"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"1782";"1666";"3448"
"C91 - Leucemia linfóide";"1895";"1451";"3346"
"C92 - Leucemia mielóide";"2033";"1767";"3800"
"C93 - Leucemia monocítica";"85";"103";"188"
"C94 - Outras leucemias de células de tipo especificado";"88";"54";"142"
"C95 - Leucemia de tipo celular não especificado";"156";"153";"309"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"238";"182";"420"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"540";"768";"1308"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"357";"617";"974"
"D01 - Carcinoma in situ de outros órgãos digestivos";"530";"659";"1189"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"176";"84";"260"
"D03 - Melanoma in situ";"222";"235";"457"
"D04 - Carcinoma in situ da pele";"5317";"7019";"12336"
"D05 - Carcinoma in situ da mama";"190";"2589";"2779"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"216";"10303";"10519"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"1011";"806";"1817"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"770";"1059";"1829"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"2449";"3913";"6362"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"652";"471";"1123"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"74";"6291";"6365"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"3388";"11";"3399"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"571";"419";"990"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"20";"36";"56"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"2045";"2333";"4378"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"599";"3217";"3816"
"D45 - Policitemia vera";"249";"216";"465"
"D46 - Síndromes mielodisplásicas";"657";"707";"1364"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"1316";"1657";"2973"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"13773";"26737";"40510"
"Total";"246851";"317006";"563857"
